restaurant,item,calories,cal_fat,cholesterol,total_carb,fiber,protein
Taco Bell,Cantina Power Burrito - Chicken,760,240,60,96,12,32
Taco Bell,Cantina Power Burrito - Steak,780,250,50,98,13,33
Taco Bell,Cantina Power Burrito - Veggie,740,230,10,107,17,20
Taco Bell,Cheesy Bean and Rice Burrito,420,160,0,55,6,11
Taco Bell,Chili Cheese Burrito,380,150,35,41,5,16
Taco Bell,Chicken Crunchy Cheesy Core Burrito,610,210,55,74,5,25
Taco Bell,Steak Crunchy Cheesy Core Burrito,610,220,50,75,5,25
Taco Bell,Beef Crunchy Cheesy Core Burrito,630,240,45,76,7,22
Taco Bell,Loaded Taco Burrito,550,260,50,52,7,20
Taco Bell,Chicken Quesarito,620,270,60,64,4,24
Taco Bell,Steak Quesarito,630,280,65,64,3,25
Taco Bell,Beef Quesarito,650,300,60,65,6,22
Taco Bell,Shredded Chicken Burrito,400,160,30,45,3,16
Taco Bell,Smothered Burrito - Beef,710,320,75,70,10,28
Taco Bell,Smothered Burrito - Shredded Chicken,650,250,70,67,8,34
Taco Bell,Smothered Burrito - Steak,670,260,80,68,7,35
Taco Bell,Chicken Spicy Cheesy Core Burrito,540,180,55,66,5,24
Taco Bell,Steak Spicy Cheesy Core Burrito,550,190,50,66,5,24
Taco Bell,Beef Spicy Cheesy Core Burrito,570,210,45,68,7,22
Taco Bell,Triple Melt Burrito,410,140,30,50,4,15
Taco Bell,XXL Grilled Stuft Burrito - Beef,880,380,75,94,12,31
Taco Bell,XXL Grilled Stuft Burrito - Chicken,830,320,85,91,10,37
Taco Bell,XXL Grilled Stuft Burrito - Steak,820,320,70,91,10,33
Taco Bell,Chicken Soft Taco,170,50,30,18,1,12
Taco Bell,Cool Ranch® Doritos® Double Decker® Taco,320,120,25,36,6,13
Taco Bell,Cool Ranch® Doritos® Locos Taco,160,90,25,13,2,8
Taco Bell,Cool Ranch® Doritos® Locos Taco Supreme,200,100,35,15,3,9
Taco Bell,Crunchy Taco,170,90,25,12,3,8
Taco Bell,Crunchy Taco Supreme®,200,110,35,15,3,9
Taco Bell,Double Decker® Taco,320,120,25,37,7,13
Taco Bell,DOUBLE DECKER® Taco Supreme®,350,140,35,40,7,14
Taco Bell,Spicy Sweet Double Stacked Taco,340,160,35,32,4,12
Taco Bell,Cool Ranch Habanero Double Stacked Taco,350,180,40,30,4,13
Taco Bell,Nacho Crunch Double Stacked Taco,380,170,35,39,5,13
Taco Bell,Fiery Doritos® Double Decker® Taco,320,120,25,36,7,14
Taco Bell,Fiery Doritos® Locos Taco,170,90,25,12,3,8
Taco Bell,Fiery Doritos® Locos Taco Supreme,200,110,30,15,3,9
Taco Bell,Grilled Steak Soft Taco,250,130,30,19,2,11
Taco Bell,Nacho Cheese Doritos® Double Decker® Taco,320,120,25,36,7,14
Taco Bell,Nacho Cheese Doritos® Locos Tacos,170,80,25,13,2,8
Taco Bell,Nacho Cheese Doritos® Locos Tacos Supreme,200,100,35,15,3,9
Taco Bell,Soft Taco Supreme® – Beef,230,100,35,22,3,10
Taco Bell,Soft Taco-Beef,200,80,25,19,3,10
Taco Bell,Spicy Potato Soft Taco,250,120,10,28,3,6
Taco Bell,Chalupa Supreme® - Chicken,340,160,40,29,3,16
Taco Bell,Chalupa Supreme® - Steak,340,170,30,29,3,14
Taco Bell,Chalupa Supreme®–Beef,370,190,30,31,4,13
Taco Bell,Double Chalupa,600,310,50,50,6,21
Taco Bell,Wild Naked Chicken Chalupa,420,250,65,23,4,19
Taco Bell,Mild Naked Chicken Chalupa,440,270,70,22,3,20
Taco Bell,Spicy Double Chalupa,600,310,50,52,7,21
Taco Bell,Fresco Bean Burrito,350,80,0,57,9,11
Taco Bell,Fresco Burrito Supreme® – Chicken,340,80,25,50,7,17
Taco Bell,Fresco Burrito Supreme® – Steak,340,80,15,50,7,15
Taco Bell,Fresco Chicken Soft Taco,150,35,25,18,2,11
Taco Bell,Fresco Crunchy Taco,140,70,20,13,3,6
Taco Bell,Fresco Grilled Steak Soft Taco,150,35,15,19,2,9
Taco Bell,Fresco Soft Taco,170,60,20,20,3,8
Taco Bell,Cheesy Gordita Crunch,490,260,55,39,5,20
Taco Bell,Doritos® Cheesy Gordita Crunch - Cool Ranch,490,250,55,40,5,20
Taco Bell,Doritos® Cheesy Gordita Crunch - Fiery,490,250,55,40,5,20
Taco Bell,Doritos® Cheesy Gordita Crunch - Nacho Cheese,490,250,55,40,5,20
Taco Bell,Double Cheesy Gordita Crunch,570,290,70,44,7,25
Taco Bell,Gordita Supreme® – Beef,300,120,30,31,4,13
Taco Bell,Gordita Supreme® - Chicken,270,90,40,29,2,16
Taco Bell,Gordita Supreme® - Steak,270,90,30,29,2,14
Taco Bell,Nacho Fries Bellgrande,710,360,30,73,10,13
Taco Bell,Nachos BellGrande®,760,360,30,82,13,18
Taco Bell,Nachos Supreme,430,210,30,44,7,12
Taco Bell,Triple Layer Nachos,320,140,0,41,6,7
Taco Bell,Triple Melt Nachos,260,140,30,19,3,10
Taco Bell,Beefy Cheddar Crunchwrap Slider,410,170,25,46,4,14
Taco Bell,Beefy Mini Quesadilla,210,110,25,17,3,9
Taco Bell,Beefy Nacho Griller,420,170,20,49,5,12
Taco Bell,BLT Crunchwrap Slider,430,210,20,43,3,12
Taco Bell,Cantina Power Bowl - Chicken,560,200,60,64,9,26
Taco Bell,Cantina Power Bowl - Steak,580,210,50,66,10,27
Taco Bell,Cantina Power Bowl - Veggie,540,190,10,75,14,14
Taco Bell,Cheese Quesadilla,480,240,50,40,4,19
Taco Bell,Cheese Roll-Up,190,80,20,18,2,9
Taco Bell,Chicken Quesadilla,520,250,75,41,4,27
Taco Bell,Chickstar,620,340,50,53,4,17
Taco Bell,Chili Cheese Burrito,380,150,35,41,5,16
Taco Bell,Chipotle Crispy Chicken Griller,290,170,25,22,1,9
Taco Bell,Crispy Chicken Quesadilla,650,340,75,51,5,26
Taco Bell,Crunchwrap Supreme®,540,190,30,71,7,16
Taco Bell,Double Tostada,270,100,15,32,8,12
Taco Bell,Express Taco Salad w/ Chips,580,260,60,59,8,23
Taco Bell,Loaded Potato Griller,470,200,25,55,4,13
Taco Bell,Mexican Pizza,540,270,40,47,7,20
Taco Bell,MexiMelt®,270,130,40,21,3,14
Taco Bell,Steak Quesalupa,440,210,60,36,3,22
Taco Bell,Chicken Quesalupa,440,200,60,37,3,22
Taco Bell,Beef Quesalupa,460,240,50,38,4,19
Taco Bell,Shredded Chicken Mini Quesadilla,180,70,25,15,2,12
Taco Bell,Spicy Chicken Crunchwrap Slider,400,180,25,42,3,15
Taco Bell,Spicy Tostada,200,90,10,22,4,7
Taco Bell,Stacker,390,170,40,39,4,18
Taco Bell,Steak Quesadilla,520,250,65,41,4,25
Taco Bell,Original Triple Double Crunchwrap,700,270,45,85,9,23
Taco Bell,Spicy Triple Double Crunchwrap,780,340,50,87,9,23
Taco Bell,Express Taco Salad w/ Chips,580,260,60,59,8,23
Taco Bell,Fiesta Taco Salad-Beef,780,380,60,74,11,26
Taco Bell,Fiesta Taco Salad-Chicken,720,320,70,70,8,32
Taco Bell,Fiesta Taco Salad-Steak,720,320,55,70,8,28
